I ,Image,image,Name,Element,Monster ID,sound,Description,Height,Weight,common,shiny,egg,107/0
TRUE,,,Butterflame,Fire,89,,"Related to Fireflies, the Butterflame is an elusive creature that lives within volcanoes and floats from fireflowers to magmapies.",111,35,5000,140,Both,5
TRUE,,,Asheater,Fire,90,,"Contrary to popular belief, Asheaters do not eat burnt wood, but rather consume red ants, fire ants, and magmants in their ashen burrows.",120,43,5000,140,Both,shared
TRUE,,,Embird,Fire,91,,"Embirds spend much of their lives both finding and collecting new logs for their nests, which always burn down in short time. ",150,37,5000,140,Both,13
TRUE,,,Candlekin,Fire,92,,Candlekins are fiery little Hatchies who burn brighter as they get angrier.,175,55,5000,140,Both,
TRUE,,,Charbeast,Fire,93,,"Powerful and wise, a Charbeast spends much of its time in meditation and thought. They dwell in caves on the sides of volcanoes.",180,125,5000,140,Both,
TRUE,,,Taurrid,Fire,94,,Taurrids are solitary creatures in the wild. Even their own reflection makes them boil with red rage.,210,160,5000,140,Lunar,
TRUE,,,Brunner,Fire,95,,"They burn when they run, and they run when they burn. Therefore, they never stop brunning.",120,45,5000,140,Lunar,
TRUE,,,Flaemu,Fire,96,,"Flaemus are fast and noisy Hatchies who scorch the ground when they run. Although flightless, their feathers burn so hot that they must flap them continually.",192,70,5000,140,Both,
TRUE,,,Firazel,Fire,97,,The favorite activity of Firazels includes hiking to the top of a volcano and bellyflopping into the magma far below.,179,77,5000,140,Both,
TRUE,,,Emberslash,Fire,98,,"Do not approach an Emberslash during heat. In other words, never approach an Emberslash in the wild.",165,58,5000,140,Solar,
TRUE,,,Blasthopper,Fire,99,,Rule #35 in Hatchy World: There is never just one Blasthopper. ,170,62,5000,140,Both,
TRUE,,,Kungferno,Fire,100,,A Kungferno begins its training as a Hatchling and does not stop until it has mastered the arts of Karhoty.,150,55,5000,140,Lunar,
TRUE,,,Pyren,Fire,101,,The pious priests called Pyrens dance on the tumultuous magmatic waves of inner volcanoes. ,162,65,5000,140,Both,
TRUE,,,Flamane,Fire,102,,"Sometimes referred to as ""maneiacs,"" the Flamane is a short but hot-tempered Hatchy with surprisingly agility and acrobatic abilities.",145,45,5000,140,Solar,
TRUE,,,Hotweiler,Fire,103,,"Hotweilers in the wild may be ferocious and untrusting, but they are fiercely loyal and protective of their beloved trainers.",192,165,5000,140,Both,
TRUE,,,Bunsin,Fire,104,,"Few things burn hotter than a Bunsin, for which reason they are used to ignite large bunfires.",211,480,5000,140,Both,
TRUE,,,Magmadon,Fire,105,,The Magmadon is one of the most feared wild Hatchies on the sides of volcanoes. They use their heads to smash and their large legs to stomp any intruder.,280,2200,5000,140,Solar,
TRUE,,,Firret,Fire,106,,Firrets are pesky Hatchies that steal food from unwary travelers. They travel in groups and use distraction tactics.,80,30,5000,140,Both,
TRUE,,,Incineraptor,Fire,107,,"Incineraptors travel in large packs, working together to bring down large prey. Not even dragons are considered too dangerous for these hellish Hatchies to torment.",200,90,5000,140,Solar,
TRUE,,,Warmanger,Fire,108,,The fireptiles called Warmangers are hot-blooded and hotter tempered. It is difficult to distinguish their angry hissing from the escaping gases of magma.,350,78,5000,140,Lunar,
TRUE,,,Diamoxius,Dark,109,,The large horn of the Diamoxius strikes fear and death into all who disturb its darkness.,340,80,5000,140,Lunar,lunar
TRUE,,,Lucifell,Dark,110,,"Once the brightest of Hatchies in the world, the Lucifellae lost their light and cast themselves into the shadows of the deeps.",176,66,5000,140,Lunar,14
TRUE,,,Doomcade,Dark,111,,"Once every ten years, the Doomcadae awaken from their slumbers in the forest and emerge in dark swarms that choke the sunlight of the Sky Egg.",160,60,5000,140,Lunar,solar
TRUE,,,Shadarkan,Dark,112,,"Shadarkans are mysterious Hatchies with unclear ambitions. They enjoy riddles, tongue twisters, and obscure prophecies.",176,62,5000,140,Lunar,0
TRUE,,,Noxi,Dark,113,,"When Noxii gather, their plumes of toxic gas become insurmountable and devastating. Even the most viruelent creatures avoid these noxious gatherings.",165,5,5000,140,Lunar,shared
TRUE,,,Toadeth,Dark,114,,"The slimy skin of a Toadeth is so poisonous that it inspired the vow: ""Toadeth do us part.""",182,88,5000,140,Lunar,0
TRUE,,,Dreamphibian,Dark,115,,The Dreamphibian uses sound and movement to hypnotize its prey into a trance like state.,169,61,5000,140,Lunar,
TRUE,,,Murcial,Dark,116,,Murcials are fast and use deadly poisons they gather and trade amongst each other,170,48,5000,140,Lunar,
TRUE,,,Leechblight,Dark,117,,"Leechblights are dangerous and should be avoided in the wild. When they latch onto prey, they suck the strength from their forms until pale and weak.",184,85,5000,140,Lunar,
TRUE,,,Hypnoshade,Dark,118,,Hypnoshades are devious tricksters that play tricks on people for sheer amusement. It's all fun and games as long as someone loses an eye.,140,30,5000,140,Lunar,
TRUE,,,Toxiloris,Dark,119,,A Toxiloris will use its large tail to launch itself on a target. A single sting from the toxic barbs on its horn causes painful paralysis and short breath.,150,55,5000,140,Lunar,
TRUE,,,Bristlebain,Dark,120,,Bristlebains camouflage themselves like stones in the shade. Stepping on one of their spikes is the last wrong-step that a traveler can make.,174,65,5000,140,Lunar,
TRUE,,,Abydon,Dark,121,,Abydons disappear into shadows and stalk their prey as silently as death itself.,310,130,5000,140,Lunar,
TRUE,,,Doomhopper,Dark,122,,A herd of Doomhoppers is called a storm because they sound like rolling thunder across the horizon.,200,200,5000,140,Lunar,
TRUE,,,Loprogard,Light,123,,These guardians are found near the Temple of Light. Loprogards are able to sense the intentions of those who approach them.,222,9999,5000,140,Solar,lunar
TRUE,,,Dawnclaw,Light,124,,"Rising early to hunt in the twilight, a Dawnclaw cuts through the undergrowth with its razor sharp nails.",190,67,5000,140,Solar,0
TRUE,,,Pixelite,Light,125,,"Pixelites spend their evenings in tall grasses and wide meadows, where they glow in fluttering dance.",170,53,5000,140,Solar,solar
TRUE,,,Raydon,Light,126,,The slashing claws of a Raydon are as piercing as morning light and twice as blinding.,185,70,5000,140,Solar,14
TRUE,,,Blitzard,Light,127,,Blitzards are lightning-fast Hatchies that use their powerful tails to propel themselves away from danger or towards a meal.,210,350,5000,140,Solar,shared
TRUE,,,Knightlight,Light,128,,Knightlights are fierce warriors who belong to fraternal orders. Their code demands a lifetime of sacrifice against chaos.,202,74,5000,140,Solar,0
TRUE,,,Flutterflight,Light,129,,Flutterflights are gentle and lovable Hatchies that dwell in flowerfields and grasslands. They are a favorite household friend of humans in Hatchy World.,120,33,5000,140,Solar,
TRUE,,,Briteling,Light,130,,"Considered to be extremely lucky, Britelings are sought out by humans because a simple look in their direction brings two weeks good fortune.",140,45,5000,140,Solar,
TRUE,,,Pharoclops,Light,131,,Pharaclops are solitary Hatchies who practice the powerful arts of the third-eye. They see what most others cannot.,170,80,5000,140,Solar,
TRUE,,,Owluminate,Light,132,,"Owluminates are nocturnal creatures that can dim themselves while hunting. Once their prey is caught, however, they glow brightly to warn away other would-be scavengers.",150,50,5000,140,Solar,
TRUE,,,Gaeltus,Light,133,,Its bronze beak and razor sharp talons make the Gaeltus a fearsome predator in the skies. Gaeltus feathers are so sharply thin that chefs use them for kitchen knives.,210,60,5000,140,Solar,
TRUE,,,Seraphump,Light,134,,Seraphumps are slow-moving and sedentary in nature. Only when hungry do they move with a sense of urgency.,320,2800,5000,140,Solar,
TRUE,,,Airsupial,Light,135,,Airsupials are so light in body and mind that clouds form underneath and carry them across the vaults of the sky.,160,70,5000,140,Solar,
TRUE,,,Skyren,Light,136,,"Like their elemental cousins, the Skyrens are powerful conjurers of the energies that fill each domain.",183,65,5000,140,Solar,
TRUE,,,Tarragonus,Plant,137,,"Believed to have been created by the primordial demigods of the Plant Hatchies, a Tarragonus can summon a forest at will.",3000,5000,0,140,Both,lunar
TRUE,,,Frostvern,Water,138,,"Wherever a Frostvern chooses to nest, the land experiences a perpetual winter without growth.",3000,5000,0,140,Both,1
TRUE,,,Firadra,Fire,139,,"Firadra are believed to live deep in the world's core, sleeping in the molten seas of rock.",3000,5000,0,140,Both,solar
TRUE,,,Blasilisk,Dark,140,,Blasilisk horns are equipped with deadly poisons and acids that can eat through any material known to man.,3000,5000,0,140,Lunar,1
TRUE,,,Lucirrus,Light,141,,Luccirrus unleashes powerful beams of light from its mouth that carve mountain ranges into valleys and plains.,3000,5000,0,140,Solar,shared
TRUE,1011010,,Negato,Void,142,,The Void Spirit created the race of Negatos with special intent and gifted them the ability to bend space and time.,3000,5000,0,140,Both,4
,fix desc,,,,,fix h w,,,shared,lunar,solar,,
,0,,,,,0,,,43,32,32,,
,,,,,,,,egg unique,egg shared,total each egg,total collection,,
,,,,,,,,32,43,75,107,,
,,,,,,,,,40.19%,29.91%,29.91%,,
