Element,Stages,Evolution,Number,Variation ,ID name, file 2d,Deliver,Priority,concept,2d final,3D Model,Texture,Rigging,Nice Names
Void,Cub,Nymph,01,Common,V_C_Nymph_01_Com,,,,,,,,,
Void,Cub,Golem,01,Common,V_C_Golem_01_Com,,,,,,,,,
Void,Cub,Monster,01,Common,V_C_Monster_01_Com,,,,,,,,,
Void,Cub,Dog,01,Common,V_C_Dog_01_Com,,,,,,,,,
Void,Cub,Deer,01,Common,V_C_Deer_01_Com,,,,,,,,,
Void,Cub,Bear,01,Common,V_C_Bear_01_Com,,,,,,,,,
Void,Cub,Ape,01,Common,V_C_Ape_01_Com,,,,,,,,,
Void,Cub,Cat,01,Common,V_C_Cat_01_Com,,,,,,,,,
Void,Cub,Rabbit,01,Common,V_C_Rabbit_01_Com,,,,,,,,,
Void,Cub,Rodent,01,Common,V_C_Rodent_01_Com,,,,,,,,,
Void,Teen,Dragon,01,Common,V_T_Dragon_01_Com,,,,,,,,,
Void,Teen,Insect,01,Common,V_T_Insect_01_Com,,,,,,,,,
Void,Teen,Bug,01,Common,V_T_Bug_01_Com,,,,,,,,,
Void,Teen,Aquatic,01,Common,V_T_Aquatic_01_Com,,,,,,,,,
Void,Teen,Salamander,01,Common,V_T_Salaman_01_Com,,,,,,,,,
Void,Teen,Frog,01,Common,V_T_Frog_01_Com,,,,,,,,,
Void,Teen,Turtle,01,Common,V_T_Turtle_01_Com,,,,,,,,,
Void,Teen,Nymph,01,Common,V_T_Nymph_01_Com,,,,,,,,,
Void,Teen,Golem,01,Common,V_T_Golem_01_Com,,,,,,,,,
Void,Teen,Monster,01,Common,V_T_Monster_01_Com,,,,,,,,,
Void,Teen,Dog,01,Common,V_T_Dog_01_Com,,,,,,,,,
Void,Teen,Deer,01,Common,V_T_Deer_01_Com,,,,,,,,,
Void,Teen,Bear,01,Common,V_T_Bear_01_Com,,,,,,,,,
Void,Teen,Ape,01,Common,V_T_Ape_01_Com,,,,,,,,,
Void,Teen,Cat,01,Common,V_T_Cat_01_Com,,,,,,,,,
Void,Teen,Rabbit,01,Common,V_T_Rabbit_01_Com,,,,,,,,,
Void,Teen,Rodent,01,Common,V_T_Rodent_01_Com,,,,,,,,,
Void,Adult,Dragon,01,Common,V_A_Dragon_01_Com,,,,,,,,,
Void,Adult,Insect,01,Common,V_A_Insect_01_Com,,,,,,,,,
Void,Adult,Bug,01,Common,V_A_Bug_01_Com,,,,,,,,,
Void,Adult,Aquatic,01,Common,V_A_Aquatic_01_Com,,,,,,,,,
Void,Adult,Salamander,01,Common,V_A_Salaman_01_Com,,,,,,,,,
Void,Adult,Frog,01,Common,V_A_Frog_01_Com,,,,,,,,,
Void,Adult,Turtle,01,Common,V_A_Turtle_01_Com,,,,,,,,,
Void,Adult,Nymph,01,Common,V_A_Nymph_01_Com,,,,,,,,,
Void,Adult,Golem,01,Common,V_A_Golem_01_Com,,,,,,,,,
Void,Adult,Monster,01,Common,V_A_Monster_01_Com,,,,,,,,,
Void,Adult,Dog,01,Common,V_A_Dog_01_Com,,,,,,,,,
Void,Adult,Deer,01,Common,V_A_Deer_01_Com,,,,,,,,,
Void,Adult,Bear,01,Common,V_A_Bear_01_Com,,,,,,,,,
Void,Adult,Ape,01,Common,V_A_Ape_01_Com,,,,,,,,,
Void,Adult,Cat,01,Common,V_A_Cat_01_Com,,,,,,,,,
Void,Adult,Rabbit,01,Common,V_A_Rabbit_01_Com,,,,,,,,,
Void,Adult,Rodent,01,Common,V_A_Rodent_01_Com,,,,,,,,,
Plant,Seed,Egg,01,Common,P_S_Egg_01_Com,P_S_Egg_01_Com.psd,14-11-24,Started,,,,,,
Plant,Baby,Aquatic,01,Common,P_B_Aquatic_01_Com,P_B_Aquatic_01_Com.psd,28-11-24,Started,,,,,,
Plant,Baby,Flight,01,Common,P_B_Flight_01_Com,P_B_Flight_01_Com.psd,21-11-24,Started,,,,,,
Plant,Baby,Biped,01,Common,P_B_Biped_01_Com,P_B_Biped_01_Com.psd,21-11-24,Started,,,,,,
Plant,Baby,Quadruped,01,Common,P_B_Quadrup_01_Com,P_B_Quadrup_01_Com.psd,21-11-24,Started,,,,,,
Plant,Baby,Amphibian,01,Common,P_B_Amphibi_01_Com,P_B_Amphibi_01_Com.psd,28-11-24,Started,,,,,,
Plant,Baby,Reptiles,01,Common,P_B_Reptile_01_Com,P_B_Reptile_01_Com.psd,28-11-24,Started,,,,,,
Plant,Baby,Shell,01,Common,P_B_Shell_01_Com,P_B_Shell_01_Com.psd,28-11-24,Started,,,,,,
Plant,Cub,Dragon,01,Common,P_C_Dragon_01_Com,,,,,,,,,
Plant,Cub,Insect,01,Common,P_C_Insect_01_Com,,,,,,,,,
Plant,Cub,Bug,01,Common,P_C_Bug_01_Com,,,,,,,,,
Plant,Cub,Aquatic,01,Common,P_C_Aquatic_01_Com,,,,,,,,,
Plant,Cub,Salamander,01,Common,P_C_Salaman_01_Com,,,,,,,,,
Plant,Cub,Frog,01,Common,P_C_Frog_01_Com,,,,,,,,,
Plant,Cub,Turtle,01,Common,P_C_Turtle_01_Com,,,,,,,,,
Plant,Cub,Nymph,01,Common,P_C_Nymph_01_Com,,,,,,,,,
Plant,Cub,Golem,01,Common,P_C_Golem_01_Com,,,,,,,,,
Plant,Cub,Monster,01,Common,P_C_Monster_01_Com,,,,,,,,,
Plant,Cub,Dog,01,Common,P_C_Dog_01_Com,,,,,,,,,
Plant,Cub,Deer,01,Common,P_C_Deer_01_Com,,,,,,,,,
Plant,Cub,Bear,01,Common,P_C_Bear_01_Com,,,,,,,,,
Plant,Cub,Ape,01,Common,P_C_Ape_01_Com,,,,,,,,,
Plant,Cub,Cat,01,Common,P_C_Cat_01_Com,,,,,,,,,
Plant,Cub,Rabbit,01,Common,P_C_Rabbit_01_Com,,,,,,,,,
Plant,Cub,Rodent,01,Common,P_C_Rodent_01_Com,,,,,,,,,
Plant,Teen,Dragon,01,Common,P_T_Dragon_01_Com,,,,,,,,,
Plant,Teen,Insect,01,Common,P_T_Insect_01_Com,,,,,,,,,
Plant,Teen,Bug,01,Common,P_T_Bug_01_Com,,,,,,,,,
Plant,Teen,Aquatic,01,Common,P_T_Aquatic_01_Com,,,,,,,,,
Plant,Teen,Salamander,01,Common,P_T_Salaman_01_Com,,,,,,,,,
Plant,Teen,Frog,01,Common,P_T_Frog_01_Com,,,,,,,,,
Plant,Teen,Turtle,01,Common,P_T_Turtle_01_Com,,,,,,,,,
Plant,Teen,Nymph,01,Common,P_T_Nymph_01_Com,,,,,,,,,
Plant,Teen,Golem,01,Common,P_T_Golem_01_Com,,,,,,,,,
Plant,Teen,Monster,01,Common,P_T_Monster_01_Com,,,,,,,,,
Plant,Teen,Dog,01,Common,P_T_Dog_01_Com,,,,,,,,,
Plant,Teen,Deer,01,Common,P_T_Deer_01_Com,,,,,,,,,
Plant,Teen,Bear,01,Common,P_T_Bear_01_Com,,,,,,,,,
Plant,Teen,Ape,01,Common,P_T_Ape_01_Com,,,,,,,,,
Plant,Teen,Cat,01,Common,P_T_Cat_01_Com,,,,,,,,,
Plant,Teen,Rabbit,01,Common,P_T_Rabbit_01_Com,,,,,,,,,
Plant,Teen,Rodent,01,Common,P_T_Rodent_01_Com,,,,,,,,,
Plant,Adult,Dragon,01,Common,P_A_Dragon_01_Com,,,,,,,,,
Plant,Adult,Insect,01,Common,P_A_Insect_01_Com,,,,,,,,,
Plant,Adult,Bug,01,Common,P_A_Bug_01_Com,,,,,,,,,
Plant,Adult,Aquatic,01,Common,P_A_Aquatic_01_Com,,,,,,,,,
Plant,Adult,Salamander,01,Common,P_A_Salaman_01_Com,,,,,,,,,
Plant,Adult,Frog,01,Common,P_A_Frog_01_Com,,,,,,,,,
Plant,Adult,Turtle,01,Common,P_A_Turtle_01_Com,,,,,,,,,
Plant,Adult,Nymph,01,Common,P_A_Nymph_01_Com,,,,,,,,,
Plant,Adult,Golem,01,Common,P_A_Golem_01_Com,,,,,,,,,
Plant,Adult,Monster,01,Common,P_A_Monster_01_Com,,,,,,,,,
Plant,Adult,Dog,01,Common,P_A_Dog_01_Com,,,,,,,,,
Plant,Adult,Deer,01,Common,P_A_Deer_01_Com,,,,,,,,,
Plant,Adult,Bear,01,Common,P_A_Bear_01_Com,,,,,,,,,
Plant,Adult,Ape,01,Common,P_A_Ape_01_Com,,,,,,,,,
Plant,Adult,Cat,01,Common,P_A_Cat_01_Com,,,,,,,,,
Plant,Adult,Rabbit,01,Common,P_A_Rabbit_01_Com,,,,,,,,,
Plant,Adult,Rodent,01,Common,P_A_Rodent_01_Com,,,,,,,,,
Light,Seed,Egg,01,Common,L_S_Egg_01_Com,L_S_Egg_01_Com.psd,14-11-24,Started,,,,,,
Light,Baby,Aquatic,01,Common,L_B_Aquatic_01_Com,,,,,,,,,
Light,Baby,Flight,01,Common,L_B_Flight_01_Com,L_B_Flight_01_Com.psd,28-11-24,Started,,,,,,
Light,Baby,Biped,01,Common,L_B_Biped_01_Com,L_B_Biped_01_Com.psd,28-11-24,Started,,,,,,
Light,Baby,Quadruped,01,Common,L_B_Quadrup_01_Com,L_B_Quadrup_01_Com.psd,28-11-24,Started,,,,,,
Light,Baby,Amphibian,01,Common,L_B_Amphibi_01_Com,L_B_Amphibi_01_Com.psd,28-11-24,Started,,,,,,
Light,Baby,Reptiles,01,Common,L_B_Reptile_01_Com,L_B_Reptile_01_Com.psd,28-11-24,Started,,,,,,
Light,Baby,Shell,01,Common,L_B_Shell_01_Com,L_B_Shell_01_Com.psd,28-11-24,Started,,,,,,
Light,Cub,Dragon,01,Common,L_C_Dragon_01_Com,,,,,,,,,
Light,Cub,Insect,01,Common,L_C_Insect_01_Com,,,,,,,,,
Light,Cub,Bug,01,Common,L_C_Bug_01_Com,,,,,,,,,
Light,Cub,Aquatic,01,Common,L_C_Aquatic_01_Com,,,,,,,,,
Light,Cub,Salamander,01,Common,L_C_Salaman_01_Com,,,,,,,,,
Light,Cub,Frog,01,Common,L_C_Frog_01_Com,,,,,,,,,
Light,Cub,Turtle,01,Common,L_C_Turtle_01_Com,,,,,,,,,
Light,Cub,Nymph,01,Common,L_C_Nymph_01_Com,,,,,,,,,
Light,Cub,Golem,01,Common,L_C_Golem_01_Com,,,,,,,,,
Light,Cub,Monster,01,Common,L_C_Monster_01_Com,,,,,,,,,
Light,Cub,Dog,01,Common,L_C_Dog_01_Com,,,,,,,,,
Light,Cub,Deer,01,Common,L_C_Deer_01_Com,,,,,,,,,
Light,Cub,Bear,01,Common,L_C_Bear_01_Com,,,,,,,,,
Light,Cub,Ape,01,Common,L_C_Ape_01_Com,,,,,,,,,
Light,Cub,Cat,01,Common,L_C_Cat_01_Com,,,,,,,,,
Light,Cub,Rabbit,01,Common,L_C_Rabbit_01_Com,,,,,,,,,
Light,Cub,Rodent,01,Common,L_C_Rodent_01_Com,,,,,,,,,
Light,Teen,Dragon,01,Common,L_T_Dragon_01_Com,,,,,,,,,
Light,Teen,Insect,01,Common,L_T_Insect_01_Com,,,,,,,,,
Light,Teen,Bug,01,Common,L_T_Bug_01_Com,,,,,,,,,
Light,Teen,Aquatic,01,Common,L_T_Aquatic_01_Com,,,,,,,,,
Light,Teen,Salamander,01,Common,L_T_Salaman_01_Com,,,,,,,,,
Light,Teen,Frog,01,Common,L_T_Frog_01_Com,,,,,,,,,
Light,Teen,Turtle,01,Common,L_T_Turtle_01_Com,,,,,,,,,
Light,Teen,Nymph,01,Common,L_T_Nymph_01_Com,,,,,,,,,
Light,Teen,Golem,01,Common,L_T_Golem_01_Com,,,,,,,,,
Light,Teen,Monster,01,Common,L_T_Monster_01_Com,,,,,,,,,
Light,Teen,Dog,01,Common,L_T_Dog_01_Com,,,,,,,,,
Light,Teen,Deer,01,Common,L_T_Deer_01_Com,,,,,,,,,
Light,Teen,Bear,01,Common,L_T_Bear_01_Com,,,,,,,,,
Light,Teen,Ape,01,Common,L_T_Ape_01_Com,,,,,,,,,
Light,Teen,Cat,01,Common,L_T_Cat_01_Com,,,,,,,,,
Light,Teen,Rabbit,01,Common,L_T_Rabbit_01_Com,,,,,,,,,
Light,Teen,Rodent,01,Common,L_T_Rodent_01_Com,,,,,,,,,
Light,Adult,Dragon,01,Common,L_A_Dragon_01_Com,,,,,,,,,
Light,Adult,Insect,01,Common,L_A_Insect_01_Com,,,,,,,,,
Light,Adult,Bug,01,Common,L_A_Bug_01_Com,,,,,,,,,
Light,Adult,Aquatic,01,Common,L_A_Aquatic_01_Com,,,,,,,,,
Light,Adult,Salamander,01,Common,L_A_Salaman_01_Com,,,,,,,,,
Light,Adult,Frog,01,Common,L_A_Frog_01_Com,,,,,,,,,
Light,Adult,Turtle,01,Common,L_A_Turtle_01_Com,,,,,,,,,
Light,Adult,Nymph,01,Common,L_A_Nymph_01_Com,,,,,,,,,
Light,Adult,Golem,01,Common,L_A_Golem_01_Com,,,,,,,,,
Light,Adult,Monster,01,Common,L_A_Monster_01_Com,,,,,,,,,
Light,Adult,Dog,01,Common,L_A_Dog_01_Com,,,,,,,,,
Light,Adult,Deer,01,Common,L_A_Deer_01_Com,,,,,,,,,
Light,Adult,Bear,01,Common,L_A_Bear_01_Com,,,,,,,,,
Light,Adult,Ape,01,Common,L_A_Ape_01_Com,,,,,,,,,
Light,Adult,Cat,01,Common,L_A_Cat_01_Com,,,,,,,,,
Light,Adult,Rabbit,01,Common,L_A_Rabbit_01_Com,,,,,,,,,
Light,Adult,Rodent,01,Common,L_A_Rodent_01_Com,,,,,,,,,
Fire,Seed,Egg,01,Common,F_S_Egg_01_Com,F_S_Egg_01_Com.psd,14-11-24,Started,,,,,,
Fire,Baby,Aquatic,01,Common,F_B_Aquatic_01_Com,,,,,,,,,
Fire,Baby,Flight,01,Common,F_B_Flight_01_Com,F_B_Flight_01_Com.psd,28-11-24,Started,,,,,,
Fire,Baby,Biped,01,Common,F_B_Biped_01_Com,F_B_Biped_01_Com.psd,28-11-24,Started,,,,,,
Fire,Baby,Quadruped,01,Common,F_B_Quadrup_01_Com,F_B_Quadrup_01_Com.psd,28-11-24,Started,,,,,,
Fire,Baby,Amphibian,01,Common,F_B_Amphibi_01_Com,F_B_Amphibi_01_Com.psd,05-12-24,Started,,,,,,
Fire,Baby,Reptiles,01,Common,F_B_Reptile_01_Com,F_B_Reptile_01_Com.psd,28-11-24,Started,,,,,,
Fire,Baby,Shell,01,Common,F_B_Shell_01_Com,F_B_Shell_01_Com.psd,05-12-24,Started,,,,,,
Fire,Cub,Dragon,01,Common,F_C_Dragon_01_Com,F_C_Dragon_01_Com.psd,27-12-24,Started,,,,,,
Fire,Cub,Insect,01,Common,F_C_Insect_01_Com,,2/1/2024,Started,,,,,,
Fire,Cub,Bug,01,Common,F_C_Bug_01_Com,,2/1/2024,Started,,,,,,
Fire,Cub,Aquatic,01,Common,F_C_Aquatic_01_Com,,,,,,,,,
Fire,Cub,Salamander,01,Common,F_C_Salaman_01_Com,,,,,,,,,
Fire,Cub,Frog,01,Common,F_C_Frog_01_Com,,,,,,,,,
Fire,Cub,Turtle,01,Common,F_C_Turtle_01_Com,,,,,,,,,
Fire,Cub,Nymph,01,Common,F_C_Nymph_01_Com,F_C_Nymph_01_Com.psd,27-12-24,Started,,,,,,
Fire,Cub,Golem,01,Common,F_C_Golem_01_Com,,,,,,,,,
Fire,Cub,Monster,01,Common,F_C_Monster_01_Com,F_C_Monster_01_Com.psd,27-12-24,Started,,,,,,
Fire,Cub,Dog,01,Common,F_C_Dog_01_Com,F_C_Dog_01_Com.psd,27-12-24,Started,,,,,,
Fire,Cub,Deer,01,Common,F_C_Deer_01_Com,,,,,,,,,
Fire,Cub,Bear,01,Common,F_C_Bear_01_Com,,,,,,,,,
Fire,Cub,Ape,01,Common,F_C_Ape_01_Com,,,,,,,,,
Fire,Cub,Cat,01,Common,F_C_Cat_01_Com,,,,,,,,,
Fire,Cub,Rabbit,01,Common,F_C_Rabbit_01_Com,,,,,,,,,
Fire,Cub,Rodent,01,Common,F_C_Rodent_01_Com,,,,,,,,,
Fire,Teen,Dragon,01,Common,F_T_Dragon_01_Com,,,,,,,,,
Fire,Teen,Insect,01,Common,F_T_Insect_01_Com,,,,,,,,,
Fire,Teen,Bug,01,Common,F_T_Bug_01_Com,,,,,,,,,
Fire,Teen,Aquatic,01,Common,F_T_Aquatic_01_Com,,,,,,,,,
Fire,Teen,Salamander,01,Common,F_T_Salaman_01_Com,,,,,,,,,
Fire,Teen,Frog,01,Common,F_T_Frog_01_Com,,,,,,,,,
Fire,Teen,Turtle,01,Common,F_T_Turtle_01_Com,,,,,,,,,
Fire,Teen,Nymph,01,Common,F_T_Nymph_01_Com,,,,,,,,,
Fire,Teen,Golem,01,Common,F_T_Golem_01_Com,,,,,,,,,
Fire,Teen,Monster,01,Common,F_T_Monster_01_Com,,,,,,,,,
Fire,Teen,Dog,01,Common,F_T_Dog_01_Com,,,,,,,,,
Fire,Teen,Deer,01,Common,F_T_Deer_01_Com,,,,,,,,,
Fire,Teen,Bear,01,Common,F_T_Bear_01_Com,,,,,,,,,
Fire,Teen,Ape,01,Common,F_T_Ape_01_Com,,,,,,,,,
Fire,Teen,Cat,01,Common,F_T_Cat_01_Com,,,,,,,,,
Fire,Teen,Rabbit,01,Common,F_T_Rabbit_01_Com,,,,,,,,,
Fire,Teen,Rodent,01,Common,F_T_Rodent_01_Com,,,,,,,,,
Fire,Adult,Dragon,01,Common,F_A_Dragon_01_Com,,,,,,,,,
Fire,Adult,Insect,01,Common,F_A_Insect_01_Com,,,,,,,,,
Fire,Adult,Bug,01,Common,F_A_Bug_01_Com,,,,,,,,,
Fire,Adult,Aquatic,01,Common,F_A_Aquatic_01_Com,,,,,,,,,
Fire,Adult,Salamander,01,Common,F_A_Salaman_01_Com,,,,,,,,,
Fire,Adult,Frog,01,Common,F_A_Frog_01_Com,,,,,,,,,
Fire,Adult,Turtle,01,Common,F_A_Turtle_01_Com,,,,,,,,,
Fire,Adult,Nymph,01,Common,F_A_Nymph_01_Com,,,,,,,,,
Fire,Adult,Golem,01,Common,F_A_Golem_01_Com,,,,,,,,,
Fire,Adult,Monster,01,Common,F_A_Monster_01_Com,,,,,,,,,
Fire,Adult,Dog,01,Common,F_A_Dog_01_Com,,,,,,,,,
Fire,Adult,Deer,01,Common,F_A_Deer_01_Com,,,,,,,,,
Fire,Adult,Bear,01,Common,F_A_Bear_01_Com,,,,,,,,,
Fire,Adult,Ape,01,Common,F_A_Ape_01_Com,,,,,,,,,
Fire,Adult,Cat,01,Common,F_A_Cat_01_Com,,,,,,,,,
Fire,Adult,Rabbit,01,Common,F_A_Rabbit_01_Com,,,,,,,,,
Fire,Adult,Rodent,01,Common,F_A_Rodent_01_Com,,,,,,,,,
Dark,Seed,Egg,01,Common,D_S_Egg_01_Com,D_S_Egg_01_Com.psd,14-11-24,Started,,,,,,
Dark,Baby,Aquatic,01,Common,D_B_Aquatic_01_Com,,,,,,,,,
Dark,Baby,Flight,01,Common,D_B_Flight_01_Com,D_B_Flight_01_Com.psd,05-12-24,Started,,,,,,
Dark,Baby,Biped,01,Common,D_B_Biped_01_Com,D_B_Biped_01_Com.psd,05-12-24,Started,,,,,,
Dark,Baby,Quadruped,01,Common,D_B_Quadrup_01_Com,D_B_Quardrup_01_Com.psd,05-12-24,Started,,,,,,
Dark,Baby,Amphibian,01,Common,D_B_Amphibi_01_Com,D_B_Amphibi_01_Com.psd,05-12-24,Started,,,,,,
Dark,Baby,Reptiles,01,Common,D_B_Reptile_01_Com,D_B_Reptile_01_Com.psd,05-12-24,Started,,,,,,
Dark,Baby,Shell,01,Common,D_B_Shell_01_Com,D_B_Shell_01_Com.psd,05-12-24,Started,,,,,,
Dark,Cub,Dragon,01,Common,D_C_Dragon_01_Com,,,,,,,,,
Dark,Cub,Insect,01,Common,D_C_Insect_01_Com,,,,,,,,,
Dark,Cub,Bug,01,Common,D_C_Bug_01_Com,,,,,,,,,
Dark,Cub,Aquatic,01,Common,D_C_Aquatic_01_Com,,,,,,,,,
Dark,Cub,Salamander,01,Common,D_C_Salaman_01_Com,,,,,,,,,
Dark,Cub,Frog,01,Common,D_C_Frog_01_Com,,,,,,,,,
Dark,Cub,Turtle,01,Common,D_C_Turtle_01_Com,,,,,,,,,
Dark,Cub,Nymph,01,Common,D_C_Nymph_01_Com,,,,,,,,,
Dark,Cub,Golem,01,Common,D_C_Golem_01_Com,,,,,,,,,
Dark,Cub,Monster,01,Common,D_C_Monster_01_Com,,,,,,,,,
Dark,Cub,Dog,01,Common,D_C_Dog_01_Com,,,,,,,,,
Dark,Cub,Deer,01,Common,D_C_Deer_01_Com,,,,,,,,,
Dark,Cub,Bear,01,Common,D_C_Bear_01_Com,,,,,,,,,
Dark,Cub,Ape,01,Common,D_C_Ape_01_Com,,,,,,,,,
Dark,Cub,Cat,01,Common,D_C_Cat_01_Com,,,,,,,,,
Dark,Cub,Rabbit,01,Common,D_C_Rabbit_01_Com,,,,,,,,,
Dark,Cub,Rodent,01,Common,D_C_Rodent_01_Com,,,,,,,,,
