Name,Element,Description,evolution level
Psyren,Water,"Psyrens are shy hatchies that usually avoid humans. They are found in small groups on exposed sea rocks, where their singing ironically attracts others to their beautiful sounds. ",3
Tentakill,Water,"Usually solitary in nature, a Tentakill has eight venemous tentacles and two strong arms that paralyze and immobilize their prey.",3
Clashsicle,Water,"Able to move quickly through ice sheets and snow drifts, Clashicles channel water energy into sharp spears and projectiles.",3
Platasaur,Water,Platasaurs blast powerful streams of bubbles with their mouth that can knock down or incapacitate their opponents.,3
Swordsnout,Water,Swordsnouts pierce through the ocean with their sharp beak-like noses and can swim great distances at top speed without relenting. They are fierce rivals against Sharakusii.,3
Ramsplash,Water,Ramsplashies gather enough speed and power to launch their target high enough into the air that the surface tension feels like concrete.,3
Jabberwelt,Water,"Jabberwelts are strange Hatchies, known to perform dance-like rituals, punching exhibitions, and rap battles to impress trainers they admire and mates they desire.",3
Crocodiver,Water,"Silent stalkers of rivers and shores, a Crocodiver will sometimes wait patiently among the green shallows for many days before striking.",3
Hydroslam,Water,"Sometimes called ""River Horses Plus,"" Hydroslams are not as cute and cuddly as they may appear. In fact, they are powerful waterwalkers, whose body slams splash even large ships from the water.",3
Tidalhorse,Water,"Although shy and aloof, a loyal Tidalhorse serves as a tremendous water steed and life-long friend. Many Tidalhorses outlive their trainers and become part of the family.",3
Magentic,Water,"Fiercely loyal and regal to the core, Magentics display both chivalry and style when they fight. Honor, Courage, Might. These are their oaths.",3
Malclam,Water,Malclams shoot powerful beams of light that penetrate the dark and heavy deeps. They emerge from the deeps only to recharge in the sunlight of the Sky Egg.,3
Frosloth,Water,Frosloths are powerful creatures that burrow deep into the permafrost to hibernate. It is never recommended to interrupt their slumber.,3
Arcticlaw,Water,The howling of Arcticlaws can be heard in the evening and ealy morning hours. They move and hunt in large and highly-organized packs.,3
Painguin,Water,"The sharp head-feathers of a Painguin can slice through any surface. Although voracious in the water, it is rather awkward and clumsy on dry land. With the right amount of fresh fish, they are easy to tame and train.",3
Krabsmack,Water,"A Krabsmack can exert enough pressure with its powerful claws to snap even the toughest prey in half. What is more, it uses sensitive antennae to predict incoming attacks.",3
Snowsquatch,Water,Snowsquatches are known for wielding snowballs with incredible force. They are believed to cause avalanches.,3
Riptyde,Water,"Once drawn into combat, there is no escape from a Riptyde. Their massive arms and powerful forms crush and drown all those who swim in their way.",3
Eelectra,Water,"Eelectras are shockingly potent and surprisingly slippery in combat. When in water, their bolts of electricity are magnified and projected for a great distance.",3
Anchorvie,Water,"Though seldom seen above the surface, Anchorvies inspired humans to craft shipweights called anchors.",3
Speartle,Water,"Speartles live in large, war-like communities that migrate throughout the seasons via underwater rivers. When a Spurtle evolves into a Speartle, it uses its indestructible shell as a round shield.",3
Coreeko,Water,"Coreekos may appear like colorful plants in shallows and reefs, but they become fierce fighters when nibbled on by larger fish and water Hatchies.",3
Lunamander,Fire,"A distant cousin of the Solamander, the Lunamander is a nocturnal hunter of large insects. It is highly resistant to venoms and poisons of both plants and creatures.",3
Minotorch,Fire,Large herds of Minotorches can be found on the lava fields and magmatic plains near firebergs. Their blazing stampedes can be felt for miles all around.,3
Scythepaw,Fire,"Fast, agile, and ferocious, Scythepaws strike and slash from every direction and angle in combat. When they are not sleeping, they are reaping.",3
Butterflame,Fire,"Related to Fireflies, the Butterflame is an elusive creature that lives within volcanoes and floats from fireflowers to magmapies.",3
Asheater,Fire,"Contrary to popular belief, Asheaters do not eat burnt wood, but rather consume red ants, fire ants, and magmants in their ashen burrows.",3
Embird,Fire,"Embirds spend much of their lives both finding and collecting new logs for their nests, which always burn down in short time. ",3
Candlekin,Fire,Candlekins are fiery little Hatchies who burn brighter as they get angrier.,3
Charbeast,Fire,"Powerful and wise, a Charbeast spends much of its time in meditation and thought. They dwell in caves on the sides of volcanoes.",3
Taurrid,Fire,Taurrids are solitary creatures in the wild. Even their own reflection makes them boil with red rage.,3
Brunner,Fire,"They burn when they run, and they run when they burn. Therefore, they never stop brunning.",3
Flaemu,Fire,"Flaemus are fast and noisy Hatchies who scorch the ground when they run. Although flightless, their feathers burn so hot that they must flap them continually.",3
Firazel,Fire,The favorite activity of Firazels includes hiking to the top of a volcano and bellyflopping into the magma far below.,3
Emberslash,Fire,"Do not approach an Emberslash during heat. In other words, never approach an Emberslash in the wild.",3
Blasthopper,Fire,Rule #35 in Hatchy World: There is never just one Blasthopper. ,3
Kungferno,Fire,A Kungferno begins its training as a Hatchling and does not stop until it has mastered the arts of Karhoty.,3
Pyren,Fire,The pious priests called Pyrens dance on the tumultuous magmatic waves of inner volcanoes. ,3
Flamane,Fire,"Sometimes referred to as ""maneiacs,"" the Flamane is a short but hot-tempered Hatchy with surprisingly agility and acrobatic abilities.",3
Hotweiler,Fire,"Hotweilers in the wild may be ferocious and untrusting, but they are fiercely loyal and protective of their beloved trainers.",3
Bunsin,Fire,"Few things burn hotter than a Bunsin, for which reason they are used to ignite large bunfires.",3
Magmadon,Fire,The Magmadon is one of the most feared wild Hatchies on the sides of volcanoes. They use their heads to smash and their large legs to stomp any intruder.,3
Firret,Fire,Firrets are pesky Hatchies that steal food from unwary travelers. They travel in groups and use distraction tactics.,3
Incineraptor,Fire,"Incineraptors travel in large packs, working together to bring down large prey. Not even dragons are considered too dangerous for these hellish Hatchies to torment.",3
Warmanger,Fire,The fireptiles called Warmangers are hot-blooded and hotter tempered. It is difficult to distinguish their angry hissing from the escaping gases of magma.,3
Diamoxius,Dark,The large horn of the Diamoxius strikes fear and death into all who disturb its darkness.,3
Lucifell,Dark,"Once the brightest of Hatchies in the world, the Lucifellae lost their light and cast themselves into the shadows of the deeps.",3
Doomcade,Dark,"Once every ten years, the Doomcadae awaken from their slumbers in the forest and emerge in dark swarms that choke the sunlight of the Sky Egg.",3
Shadarkan,Dark,"Shadarkans are mysterious Hatchies with unclear ambitions. They enjoy riddles, tongue twisters, and obscure prophecies.",3
Noxi,Dark,"When Noxii gather, their plumes of toxic gas become insurmountable and devastating. Even the most viruelent creatures avoid these noxious gatherings.",3
Toadeth,Dark,"The slimy skin of a Toadeth is so poisonous that it inspired the vow: ""Toadeth do us part.""",3
Dreamphibian,Dark,The Dreamphibian uses sound and movement to hypnotize its prey into a trance like state.,3
Murcial,Dark,Murcials are fast and use deadly poisons they gather and trade amongst each other,3
Leechblight,Dark,"Leechblights are dangerous and should be avoided in the wild. When they latch onto prey, they suck the strength from their forms until pale and weak.",3
Hypnoshade,Dark,Hypnoshades are devious tricksters that play tricks on people for sheer amusement. It's all fun and games as long as someone loses an eye.,3
Toxiloris,Dark,A Toxiloris will use its large tail to launch itself on a target. A single sting from the toxic barbs on its horn causes painful paralysis and short breath.,3
Bristlebain,Dark,Bristlebains camouflage themselves like stones in the shade. Stepping on one of their spikes is the last wrong-step that a traveler can make.,3
Abydon,Dark,Abydons disappear into shadows and stalk their prey as silently as death itself.,3
Doomhopper,Dark,A herd of Doomhoppers is called a storm because they sound like rolling thunder across the horizon.,3
Loprogard,Light,These guardians are found near the Temple of Light. Loprogards are able to sense the intentions of those who approach them.,3
Dawnclaw,Light,"Rising early to hunt in the twilight, a Dawnclaw cuts through the undergrowth with its razor sharp nails.",3
Pixelite,Light,"Pixelites spend their evenings in tall grasses and wide meadows, where they glow in fluttering dance.",3
Raydon,Light,The slashing claws of a Raydon are as piercing as morning light and twice as blinding.,3
Blitzard,Light,Blitzards are lightning-fast Hatchies that use their powerful tails to propel themselves away from danger or towards a meal.,3
Knightlight,Light,Knightlights are fierce warriors who belong to fraternal orders. Their code demands a lifetime of sacrifice against chaos.,3
Flutterflight,Light,Flutterflights are gentle and lovable Hatchies that dwell in flowerfields and grasslands. They are a favorite household friend of humans in Hatchy World.,3
Briteling,Light,"Considered to be extremely lucky, Britelings are sought out by humans because a simple look in their direction brings two weeks good fortune.",3
Pharoclops,Light,Pharaclops are solitary Hatchies who practice the powerful arts of the third-eye. They see what most others cannot.,3
Owluminate,Light,"Owluminates are nocturnal creatures that can dim themselves while hunting. Once their prey is caught, however, they glow brightly to warn away other would-be scavengers.",3
Gaeltus,Light,Its bronze beak and razor sharp talons make the Gaeltus a fearsome predator in the skies. Gaeltus feathers are so sharply thin that chefs use them for kitchen knives.,3
Seraphump,Light,Seraphumps are slow-moving and sedentary in nature. Only when hungry do they move with a sense of urgency.,3
Airsupial,Light,Airsupials are so light in body and mind that clouds form underneath and carry them across the vaults of the sky.,3
Skyren,Light,"Like their elemental cousins, the Skyrens are powerful conjurers of the energies that fill each domain.",3
Tarragonus,Plant,"Believed to have been created by the primordial demigods of the Plant Hatchies, a Tarragonus can summon a forest at will.",3
Frostvern,Water,"Wherever a Frostvern chooses to nest, the land experiences a perpetual winter without growth.",3
Firadra,Fire,"Firadra are believed to live deep in the world's core, sleeping in the molten seas of rock.",3
Blasilisk,Dark,Blasilisk horns are equipped with deadly poisons and acids that can eat through any material known to man.,3
Lucirrus,Light,Luccirrus unleashes powerful beams of light from its mouth that carve mountain ranges into valleys and plains.,3
Negato,Void,The Void Spirit created the race of Negatos with special intent and gifted them the ability to bend space and time.,3
