,Lucius,Discovers the world of hatchy and becomes a summoner,"Protagonist, becomes central to the fight against the Crystalists","To learn about hatchy and become a strong summoner, to protect his loved ones and the world from the Crystalists","Curiosity, desire for power, loyalty to his friends and the world",
,Elena,Specializes in spirit binding and helps Lucius navigate the dangerous world of summoning,Ally to Lucius,To restore the power of the omni and protect the world from the Crystalists,"Desire to redeem her past mistakes, loyalty to Lucius",
,Kael,Skilled tamer who joins Lucius on his quest,Ally to Lucius,To help Lucius restore the power of the omni and protect the world from the Crystalists,"Pragmatism, empathy for the hatchy, respect for their power",
,Saria,"Card summoner who initially opposes Lucius and his mission, but eventually becomes an ally",Ally to Lucius,To pursue her own agenda and fight for her family's interests,"Ambition, desire for power, complicated family relationships",
,Alazar,Ancient hatchy who holds the key to unlocking the full power of the omni,Ally to Lucius,To assist Lucius and the hatchy in their fight against the Crystalists,"Wisdom, mischievousness, desire to protect the hatchy",
,Baphomet,Dark monster who haunts Lucius and threatens to consume him,"Antagonist, works with the Crystalists",To use Lucius to help the Crystalists achieve their goals,"Manipulation, desire for power",
,Grendel,Powerful summoner who has a history with Lucius' family,"Secondary protagonist, helps Lucius on his journey",To protect the world from the Crystalists and help Lucius become a strong summoner,"Sense of duty, loyalty to Lucius and his family, desire for redemption",
,Aria,"Hatchy companion to Grendel, also has a history with Lucius' family",Helps Grendel and Lucius on their journey,To protect the world from the Crystalists and restore the power of the omni,"Loyalty to Grendel and her hatchy, desire to fight against evil",
,Crystalists,Group of humans who seek to use crystals for destruction,"Antagonists, seek to control the world",To gain power and control over the world,"Desire for power, belief in their own superiority",
,Elemental spirits,Guardians of the world's elemental power,Guides and helps the main characters on their journey,To restore the power of the omni and protect the world from the Crystalists,"Sense of duty, desire to protect the world and the hatchy",
