ID(deprecated),Gender,Armor Image,File Name,link,Name,Rarity,Description,effects,Story Notes,Type,Class,main slot,Job,II,Slot 1,Slot 2
,M,,Mighty Midnightscars (Male),https://drive.google.com/uc?export=view&id=1U4GTWaznr7Jy28RGSDMxYlbssdz2vu_a,Mighty Midnightscars (Male),legendary,"An armor imbued with malevolent energy and shrouded in an aura of dark magic. Only the mighty are capable of donning this armor, and its wearers are exclusively the war generals of The Order organization. They stand one tier below Darkheart Cyor.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Darkheart Cyor (Male),https://drive.google.com/uc?export=view&id=1xrJ1y3jYWJSz4rUwKjPGA_BSafMN20DE,Darkheart Cyor (Male),epic,"The mysterious armor worn by The Order's followers. It exudes a dark and profound aura, so intense that even formidable Hatchy creatures would feel compelled to flee due to the overwhelming energy it radiates.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,Stormcaller Enigma (Female),https://drive.google.com/uc?export=view&id=1Zg_VsOZLVuWywPfJDwsgXVnF1mxXMgbL,Stormcaller Enigma (Female),legendary,The armor renowned for its ability to manipulate storms. One of the nine legendary armors.,,Nine Legendary Armors,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,Bukomon (Female),https://drive.google.com/uc?export=view&id=1_5Nk87MWUVvJ4CAdFGRaAomHI-olCh_j,Bukomon (Female),common,"The traditional attire commonly worn by the people of Achopior includes a variety of distinctive garments. One of the most frequently donned items by its citizens is a unique, culturally significant piece of clothing.",,common Achopior garment,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,Dragoneers Blood Moon (Female),https://drive.google.com/uc?export=view&id=1sryUj1JpgNxMy5lJd2mLzMTh90wEmS5A,Dragoneers Blood Moon (Female),legendary,"One of the nine legendary armors. A fire-elemental armor reportedly used by dragon riders in the past. What makes this armor special is that some of its materials are taken from the ""secret"" parts of the Taurrid Hatchy's body.",,Nine Legendary Armors,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,Aura Predator (Female),https://drive.google.com/uc?export=view&id=1AXPmtIjUVpPhnG_UAexGxw7ied6U5fJm,Aura Predator (Female),epic,The attire worn by merchants at the Hatchy Market. Nearly all the materials for this robe are sourced from Hatchy bodies. It has the ability to tame and make even the most ferocious Hatchies obedient.,,Hatchy Market merchants,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,Lunar Demonplate (Female),https://drive.google.com/uc?export=view&id=1HQwsz6azJgWDyNLUKZAt98qfr2mTLH2Y,Lunar Demonplate (Female),rare,"An armor so terrifying it can only be donned by those with profound knowledge, be it advanced magic or high-level Tongenkyo. It possesses the power to subdue even the dark elements of Hatchy.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,Persanare (Female),https://drive.google.com/uc?export=view&id=10aQh_1uo9p8AI4nP_Y9oN9qG8vfcQezX,Persanare (Female),rare,The attire worn by members of a mysterious cult who believe that Omni is the true God. It is typically worn when the members gather in their special temple.,,,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,Kilas Tenabres (Female),https://drive.google.com/uc?export=view&id=1TR2qKZgd2xLPxKgm93Xa6SB5JqFUVUCw,Kilas Tenabres (Female),legendary,"An incredibly powerful armor, feared by all creatures on Earth. It possesses a multitude of abilities and is only held by individuals who attain the status of Grandknight, the highest rank within the knight hierarchy.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,Mighty Midnightscars (Female),https://drive.google.com/uc?export=view&id=1zjeFlt2HNj3ZAii1hwyBBtaduXShgAPl,Mighty Midnightscars (Female),legendary,"An armor imbued with malevolent energy and shrouded in an aura of dark magic. Only the mighty are capable of donning this armor, and its wearers are exclusively the war generals of The Order organization. They stand one tier below Darkheart Cyor.",,its wearers are exclusively the war generals of The Order organization. They stand one tier below Darkheart Cyor,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,Darkheart Cyor (Female),https://drive.google.com/uc?export=view&id=1PecR6HCAGVH7AmStikBZJtffVapUMVhM,Darkheart Cyor (Female),epic,"The mysterious armor worn by The Order's followers. It exudes a dark and profound aura, so intense that even formidable Hatchy creatures would feel compelled to flee due to the overwhelming energy it radiates.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Purple Hood (Male),https://drive.google.com/uc?export=view&id=13vJShCjbCmQqyTQPQAB9wKsgzhFkUx0U,Purple Hood (Male),rare,The hood used to protect the head from the scorching sun or cold weather.,"resistance to cold
resistance to light",,COWL,EQUIPS,Headgear,,,,-
,F,,Purple Hood (Female),https://drive.google.com/uc?export=view&id=1OO0EfwV8vGpF4Insl6aCQOSWaGvsAfuu,Purple Hood (Female),rare,The hood used to protect the head from the scorching sun or cold weather.,"resistance to cold
resistance to light",,COWL,EQUIPS,Headgear,,,,-
,F,,Midnightscars Barbute (Female),https://drive.google.com/uc?export=view&id=1DSeqWpsxePE--7QvdpUNTtT-TzBq_U9d,Midnightscars Barbute (Female),legendary,"The barbute worn by war generals in the Order, especially when engaging in large-scale battles. It is resistant to hypnosis and all forms of hallucinatory magic.",resistance to dark,"The Order
its wearers are exclusively the war generals of The Order organization. They stand one tier below Darkheart Cyor",HELMET,EQUIPS,Headgear,,,,-
,F,,Lapis Tenabres (Female),https://drive.google.com/uc?export=view&id=1Txt5T88HQNnP5vEpFGCIL4OgzZHp7JpA,Lapis Tenabres (Female),legendary,The special cowl worn by the Grand Druid during ceremonies. Its energy will multiply exponentially when paired with the Kilas Tenabres.,"increased strength
- bonus when paired with kilas tenabres",,HALF FACE HEAD HELMET,EQUIPS,Headgear,,,,-
,F,,Purple Monk Hood (Female),https://drive.google.com/uc?export=view&id=1hV_4gSp4TIYyYS3aPFx8ZQ33xXX0AcHc,Purple Monk Hood (Female),legendary,The hood commonly worn during religious activities.,,,COWL,EQUIPS,Headgear,,,,-
,M,,Midnightscars Barbute (Male),https://drive.google.com/uc?export=view&id=1E8w6tIkTkCpx10JaRhvQ2yG4feYRpoD9,Midnightscars Barbute (Male),legendary,"The barbute worn by war generals in the Order, especially when engaging in large-scale battles. It is resistant to hypnosis and all forms of hallucinatory magic.",,The Order,HELMET,EQUIPS,Headgear,,,,-
,M,,Purple Monk Hood (Male),https://drive.google.com/uc?export=view&id=1IwJHaUAm4ggivizThIrBiTzsUWjKL5l7,Purple Monk Hood (Male),legendary,The hood commonly worn during religious activities.,,,COWL,EQUIPS,Headgear,,,,-
,M,,Lapis Tenabres (Male),https://drive.google.com/uc?export=view&id=1ZFCHj_ao64rpu2CaK3-_lVRY_0zH8rlY,Lapis Tenabres (Male),legendary,The special cowl that can only be worn by the Grandknight because it can enhance all the power of the Grandknight wearing it. Its energy will multiply exponentially when paired with the Kilas Tenabres.,,,HALF FACE HEAD HELMET,EQUIPS,Headgear,,,,-
,F,,IMG_1006,https://drive.google.com/uc?export=view&id=1KMCzeeLjyd7Xi_KgVBIq8v5i4qgFfNq8,Ancient Crystal Ranger Shoulderplates,legendary,The legendary shoulder armor reportedly worn by the Ancient Water Temple guards,,,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,F,,IMG_1007,https://drive.google.com/uc?export=view&id=1ar9QEt5mBTtcQWo9xK2iONjUUmqR-g-D,Albian,epic,"Light-element shoulder armor, increasing resistance against Light attacks.",Resistance to light,,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,M,,IMG_0992,https://drive.google.com/uc?export=view&id=10xUKmKfhFCAW7UqC_zW9Kp399Va2ALbU,Emberstorm Shoulder Guards,rare,"A simple yet well crafted armor, sturdy and reliable",resistance to physical damage,Hatchy Templar,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,M,,IMG_0990,https://drive.google.com/uc?export=view&id=17h3CpnxcT1J4HhwhBKArk0Ihc_YPy8x6,Trainee's Pauldrons,common,"Trainee's Plate pauldrons, crafted for sparring and combat drills—lightweight yet exceptionally durable.",,,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,M,,IMG_0991,https://drive.google.com/uc?export=view&id=17vFEziR1boBZ8XgLrIpJxAdNziKCv2mX,Nimbus Nighthawk Shoulderplates,epic,"Inspired by dragon tales, this shoulder armor is given a unique name to battle dragons in legend.",,,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,F,,IMG_0998,https://drive.google.com/uc?export=view&id=1MSerbr0-B3wkI3HyC-gnR4512SB7rLXc,Ornamental Golden-Fang Shoulder Guard,epic,"Displaying elegance, many are deceived by its seemingly useless form in battle, although for those in the know, these Shoulder Guards falls under the category of ""Dangerous Goods""",increased light power,,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,M,,IMG_0989,https://drive.google.com/uc?export=view&id=1B62S4q0gCewrlDRh5iftnx30oHtYlNdX,Akki Shoulder Guard,epic,A shoulder guard that is part of the Akki Armor set.,Minimizes damage inflicted by Void-element attacks.,,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,M,,IMG_0993,https://drive.google.com/uc?export=view&id=1En7YW4ds2QId0YlS72RAFyGgnz9W5vpb,Unyielding Shoulderplates,common,Shoulder armor made of metal and a mixture of stones with hardness levels surpassing those of common stones.,,,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,F,,IMG_0999,https://drive.google.com/uc?export=view&id=1Ep_OBgHDsRfza77zkmSUluKU-brWR74I,Knight's Legacy Protector,legendary,"Similar to some other knight shoulder armors, but this shoulder armor is more popular in the Holy Badlands.",,Holy Baldlands,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,M,,IMG_0995,https://drive.google.com/uc?export=view&id=1Hlt6wYA98ox71ST9AqymxGzvsh86tqxD,Luminous Verdant Shoulderplates,epic,"Strong and sturdy, this shoulder armor is widely available in the market. The inclusion of small horn variations taken from the body of Hatchy Blitzard makes its price expensive. It is used by a noble knight named Luminous.",,1. Luminous 2.Hatchy Blitzard,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,F,,IMG_1002,https://drive.google.com/uc?export=view&id=1THDRbKW8Uz3wRSkQGkU7umMK6tYYY-Ca,Tectonic Templar Shoulderplates,legendary,"Enhancing resilience against earth-element attacks and capable of signaling impending earthquakes, this shoulder armor is popular in earthquake-prone areas.",,,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,F,,IMG_0996,https://drive.google.com/uc?export=view&id=1n1ZN_0ieWMdwh99-SWfVqpNqbkXauy9D,Heraldic Knight's Shoulderplates,epic,"These shoulder plates are specifically designed for use by knights. If used by anyone other than a knight, the true energy will not arise.",,,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,M,,IMG_0994,https://drive.google.com/uc?export=view&id=1_fW-OmP8zvOoaS8fxfX16H64WvqGGszn,Ironstorm Shoulder Guards,rare,"There is a legend that says this shoulder armor was once tested to be struck by a magical sword with tremendous energy, yet it remained unscathed.",,,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,F,,IMG_1005,https://drive.google.com/uc?export=view&id=1bIiSm9wmpt_Wzu_i-jzYK_0gxLQMjIdu,Eala Aghiad,epic,"Commonly used by female knights, but also often utilized by witches if deemed necessary. It enables hand regeneration when injured because it is mixed with wings from Hatchy Pixelite.",,,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,F,,IMG_0997,https://drive.google.com/uc?export=view&id=1YWA7_djtxvdaS_fF38DRLkLTu0GVhou6,Phrilea Shoulder Guards,rare,Shoulder guards from the Phrilea outfit.,,,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,F,,IMG_1004,https://drive.google.com/uc?export=view&id=1jfb4hGMbqgIAdH6fBcw9YMz-8VJTy1Ec,Stormwing Shoulder Defender,epic,"Shoulder guards of the Auxilus Stormwing. Same as other armors, the Stormwing feels incomplete without these iconic protectors, embodying the levitation ability and untamed spirit of the wind.",,,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
